Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
Blue Oak Ranch Reserve,2022-03-22,7,Trifolium hirtum,5,,,fuzzy
Blue Oak Ranch Reserve,2022-03-22,7,Trifolium fineleaf,5,,,"fine-leaved, frail pink/white flower"
Blue Oak Ranch Reserve,2022-03-22,7,Madia gracilis,40,,,
Blue Oak Ranch Reserve,2022-03-22,7,Vicia sativa,5,,,
Blue Oak Ranch Reserve,2022-05-26,7,Avena barbata,1,,,
Blue Oak Ranch Reserve,2022-05-26,7,Bromus diandrus,4,,,
Blue Oak Ranch Reserve,2022-05-26,7,Bromus hordeaceus,1,,,
Blue Oak Ranch Reserve,2022-03-22,8,Amsinckia sp.,12,,,
Blue Oak Ranch Reserve,2022-03-22,8,Bare ground,3,,,
Blue Oak Ranch Reserve,2022-03-22,8,Daucus pusillus,2,,,
Blue Oak Ranch Reserve,2022-03-22,8,Clarkia purpurea,5,,,
Blue Oak Ranch Reserve,2022-03-22,8,Erodium botrys,8,,,
Blue Oak Ranch Reserve,2022-03-22,8,Erodium cicutarium,2,,,
Blue Oak Ranch Reserve,2022-03-22,8,Geranium dissectum,15,,,
Blue Oak Ranch Reserve,2022-03-22,8,Grass,15,,,
Blue Oak Ranch Reserve,2022-03-22,8,Litter,3,,,
Blue Oak Ranch Reserve,2022-03-22,8,Lupinus bicolor,30,,,
Blue Oak Ranch Reserve,2022-03-22,8,Rock,0,,,
Blue Oak Ranch Reserve,2022-03-22,8,Trifolium hirtum,5,,,fuzzy
Blue Oak Ranch Reserve,2022-03-22,8,Trifolium sp.,5,,,"fine-leaved, frail pink/white flower"
Blue Oak Ranch Reserve,2022-03-22,8,Madia gracilis,25,,,
Blue Oak Ranch Reserve,2022-03-22,8,Vicia sativa,10,,,
Blue Oak Ranch Reserve,2022-05-26,8,Avena barbata,2,,,
Blue Oak Ranch Reserve,2022-05-26,8,Bromus diandrus,4,,,
Blue Oak Ranch Reserve,2022-05-26,8,Cynosurus echinatus,1,,,
Blue Oak Ranch Reserve,2022-05-26,8,Bromus hordeaceus,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Amsinckia sp.,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Bare ground,3,,,
Blue Oak Ranch Reserve,2022-03-22,9,Bulb,1,,,"Thick strap, Calochortus?"
Blue Oak Ranch Reserve,2022-03-22,9,Bulb-2,1,,,cylindrical
Blue Oak Ranch Reserve,2022-03-22,9,Clarkia purpurea,3,,,
Blue Oak Ranch Reserve,2022-03-22,9,Erodium botrys,40,,,
Blue Oak Ranch Reserve,2022-03-22,9,Galium parisiense,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Geranium dissectum,2,,,
Blue Oak Ranch Reserve,2022-03-22,9,Grass,5,,,
Blue Oak Ranch Reserve,2022-03-22,9,Litter,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Lupinus bicolor,7,,,
Blue Oak Ranch Reserve,2022-03-22,9,Micropus californicus,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Primula sp.,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Rock,0,,,
Blue Oak Ranch Reserve,2022-03-22,9,Sanicula bipinnatifida,5,,,
Blue Oak Ranch Reserve,2022-03-22,9,Torilis arvensis,3,,,
Blue Oak Ranch Reserve,2022-03-22,9,Daucus pusillus,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Trifolium hirtum,8,,,fuzzy
Blue Oak Ranch Reserve,2022-03-22,9,Trifolium sp.,4,,,not fuzzy
Blue Oak Ranch Reserve,2022-03-22,9,Unknown forb-2,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Unknown fuzzy forb,4,,,
Blue Oak Ranch Reserve,2022-03-22,9,Unkown forb-1,1,,,
Blue Oak Ranch Reserve,2022-03-22,9,Vicia sativa,5,,,
Blue Oak Ranch Reserve,2022-05-26,9,Avena barbata,2,,,
Blue Oak Ranch Reserve,2022-05-26,9,Bromus diandrus,3,,,
Blue Oak Ranch Reserve,2022-05-26,9,Cynosurus echinatus,1,,,
Blue Oak Ranch Reserve,2022-03-22,10,Amsinckia sp.,2,,,
Blue Oak Ranch Reserve,2022-03-22,10,Bare ground,1,,,
Blue Oak Ranch Reserve,2022-03-22,10,Torilis arvensis,1,,,
Blue Oak Ranch Reserve,2022-03-22,10,Chlorogalum pomeridianum,2,,,
Blue Oak Ranch Reserve,2022-03-22,10,Clarkia purpurea,2,,,
Blue Oak Ranch Reserve,2022-03-22,10,Erodium botrys,40,,,
Blue Oak Ranch Reserve,2022-03-22,10,Erodium cicutarium,1,,,
Blue Oak Ranch Reserve,2022-03-22,10,Galium parisiense,1,,,
Blue Oak Ranch Reserve,2022-03-22,10,Geranium dissectum,3,,,
Blue Oak Ranch Reserve,2022-03-22,10,Grass,35,,,
Blue Oak Ranch Reserve,2022-03-22,10,Litter,10,,,
Blue Oak Ranch Reserve,2022-03-22,10,Lupinus bicolor,8,,,
Blue Oak Ranch Reserve,2022-03-22,10,Primula sp.,2,,,
