Plant_ID,Sp_Code,Scientific_Name,Native_Status,Growth_Habit,Perenniality,Recorder,Collection_Date,Plot,Block,Shelter,Plot_number,Population,Treatment,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,fl_average,total_fl_mass,Veg_Mass_ln,total_fl_mass_ln
E8.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,MR,8/4/23,E8,5,E,8,BORR,Control,833,0.02,0.0391,0.0168,0.0159,0.0236,0.0225,0.0165,0.0258,0.0234,0.0201,53.41,0.02237,18.63421,3.977997994351679,2.924999138686744
F4.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,AT,8/4/23,F4,1,F,4,MCL,Control,412,0.0132,0.0105,0.0167,0.0188,0.0121,0.0085,0.0252,0.0096,0.0179,0.0123,14.95,0.01448,5.9657599999999995,2.7047112998366956,1.7860364573249596
F5.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,F5,1,F,5,MCL,Control,505,0.0151,0.0105,0.0203,0.023,0.015,0.0121,0.022,0.0165,0.0168,0.0144,6.2,0.01657,8.36785,1.824549292051046,2.1243969817316946
F7.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,MR,8/4/23,F7,1,F,7,WWP,Control,311,0.0131,0.0102,0.0087,0.014,0.0109,0.0078,0.008,0.0117,0.0079,0.0051,11.07,0.00974,3.02914,2.4042387467205457,1.1082787508515408
F8.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,10/31/23,F8,1,F,8,BORR,Control,705,0.013,0.0249,0.0129,0.0222,0.0158,0.0127,0.0105,0.0256,0.0138,0.0155,42.5,0.01669,11.76645,3.7495040759303713,2.4652522615038754
G1.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,G1,2,G,1,BORR,Control,703,0.0172,0.0207,0.0137,0.0195,0.0502,0.0141,0.0213,0.0176,0.0168,0.0173,36.88,0.02084,14.65052,3.607669398688393,2.684475829713694
G2.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,MR,8/4/23,G2,2,G,2,MCL,Control,1036,0.0128,0.0086,0.0119,0.028,0.0214,0.0163,0.0146,0.0341,0.011,0.0237,40.22,0.01824,18.896639999999998,3.6943643843445058,2.9389841284834763
G3.AVEBAR.1,AVEFAT,Avena barbata,Non-native,Grass,Annual,MR,NA,G3,2,G,3,SEDG,Control,208,0.0418,0.0212,0.0292,0.0359,0.0463,0.0373,0.0353,0.0307,0.033,0.0297,0.67,0.03404,7.08032,-0.40047756659712525,1.9573191044243543
G4.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,G4,2,G,4,WWP,Control,674,0.0157,0.0148,0.0261,0.0149,0.0161,0.0135,0.0178,0.0131,0.017,0.0186,19.6,0.01676,11.296240000000001,2.975529566236472,2.424469926984107
G5.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,G5,2,G,5,MCL,Control,891,0.0257,0.0152,0.0169,0.015,0.0155,0.0201,0.016,0.0157,0.0136,0.0181,36.86,0.01718,15.30738,3.607126952241677,2.7283350650447815
G8.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,AT,8/22/23,G8,2,G,8,BORR,Control,466,0.0198,0.0142,0.0184,0.0157,0.0157,0.0152,0.0145,0.0163,0.0147,0.0102,22.51,0.01547,7.20902,3.113959654918641,1.9753330197284835
H1.AVEBAR.1,AVEFAT,Avena barbata,Non-native,Grass,Annual,MR,8/4/23,H1,3,H,1,SEDG,Control,511,0.0407,0.0247,0.0328,0.0285,0.022,0.0249,0.02,0.0229,0.0453,0.0318,24.81,0.02936,15.00296,3.21124679770371,2.708247514967882
H3.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,H3,3,H,3,WWP,Control,370,0.016,0.0146,0.0095,0.0158,0.0139,0.0151,0.0128,0.0187,0.0127,0.0103,16.83,0.013940000000000001,5.1578,2.8231630082027146,1.640510131988511
H5.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,MR,NA,H5,3,H,5,BORR,Control,797,0.0189,0.0253,0.0153,0.0136,0.0175,0.0163,0.0167,0.0272,0.0191,0.0196,49.89,0.018949999999999998,15.103149999999998,3.909820581872946,2.7149033313365134
H7.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,H7,3,H,7,MCL,Control,219,0.0137,0.0136,0.0156,0.0117,0.0143,0.0162,0.0181,0.0174,0.0171,0.0164,6.68,0.01541,3.37479,1.8991179875485542,1.2163331001663882
H8.AVEBAR.1,AVEFAT,Avena barbata,Non-native,Grass,Annual,LS,8/4/23,H8,3,H,8,SEDG,Control,277,0.0214,0.0234,0.0278,0.0362,0.0424,0.029,0.0342,0.0287,0.034,0.0339,19.28,0.0311,8.6147,2.9590682891823996,2.1534700463903897
